base,probe,time
7f4c74f831c0,7f4ca13a02c0,262
7f4c74f831c0,7f4c7bb6f600,260
7f4c74f831c0,7f4cafd9fa40,420
7f4c4fe3c080,7f4c60ccaa40,252
7f4c4fe3c080,7f4cbe960500,256
7f4c4fe3c080,7f4c5b5e2400,266
7f4c4fe3c080,7f4ca13a02c0,260
7f4c4fe3c080,7f4c7bb6f600,252
7f4c4fe3c080,7f4cafd9fa40,266
7f4c4fe3c080,7f4c6b1bbb40,266
7f4c4fe3c080,7f4c84cfba00,260
7f4c4fe3c080,7f4c8d2d1fc0,262
7f4c4fe3c080,7f4cc271d9c0,266
7f4c4fe3c080,7f4c519d8000,272
7f4c4fe3c080,7f4c74d711c0,254
7f4c4fe3c080,7f4cc10caf40,252
7f4c4fe3c080,7f4c7a035640,252
7f4c4fe3c080,7f4c906127c0,252
7f4c4fe3c080,7f4cc43ab040,268
7f4c4fe3c080,7f4c83703f80,262
7f4c4fe3c080,7f4c63c4f4c0,254
7f4c4fe3c080,7f4c8c9cd200,264
7f4c4fe3c080,7f4cb15773c0,268
7f4c4fe3c080,7f4c54bd4680,258
7f4c4fe3c080,7f4c8b5b7040,258
7f4c95ad9080,7f4c60ccaa40,254
7f4c95ad9080,7f4cbe960500,256
7f4c95ad9080,7f4c5b5e2400,252
7f4c95ad9080,7f4ca13a02c0,272
7f4c95ad9080,7f4c7bb6f600,260
7f4c95ad9080,7f4cafd9fa40,252
7f4c95ad9080,7f4c6b1bbb40,252
7f4c95ad9080,7f4c84cfba00,260
7f4c95ad9080,7f4c8d2d1fc0,264
7f4c95ad9080,7f4cc271d9c0,252
7f4c95ad9080,7f4c519d8000,266
7f4c95ad9080,7f4c74d711c0,256
7f4c95ad9080,7f4cc10caf40,260
7f4c95ad9080,7f4c7a035640,254
7f4c95ad9080,7f4c906127c0,268
7f4c95ad9080,7f4cc43ab040,264
7f4c95ad9080,7f4c83703f80,272
7f4c95ad9080,7f4c63c4f4c0,256
7f4c95ad9080,7f4c8c9cd200,266
7f4c95ad9080,7f4cb15773c0,264
7f4c95ad9080,7f4c54bd4680,260
7f4c95ad9080,7f4c8b5b7040,260
7f4c95ad9080,7f4c4fe3c080,260
7f4ca283e3c0,7f4c60ccaa40,256
7f4ca283e3c0,7f4cbe960500,258
7f4ca283e3c0,7f4c5b5e2400,254
7f4ca283e3c0,7f4ca13a02c0,262
7f4ca283e3c0,7f4c7bb6f600,260
7f4ca283e3c0,7f4cafd9fa40,256
7f4ca283e3c0,7f4c6b1bbb40,256
7f4ca283e3c0,7f4c84cfba00,262
7f4ca283e3c0,7f4c8d2d1fc0,268
7f4ca283e3c0,7f4cc271d9c0,254
7f4ca283e3c0,7f4c519d8000,274
7f4ca283e3c0,7f4c74d711c0,258
7f4ca283e3c0,7f4cc10caf40,258
7f4ca283e3c0,7f4c7a035640,256
7f4ca283e3c0,7f4c906127c0,260
7f4ca283e3c0,7f4cc43ab040,428
7f4c852c6800,7f4c60ccaa40,264
7f4c852c6800,7f4cbe960500,266
7f4c852c6800,7f4c5b5e2400,260
7f4c852c6800,7f4ca13a02c0,260
7f4c852c6800,7f4c7bb6f600,260
7f4c852c6800,7f4cafd9fa40,268
7f4c852c6800,7f4c6b1bbb40,260
7f4c852c6800,7f4c84cfba00,272
7f4c852c6800,7f4c8d2d1fc0,262
7f4c852c6800,7f4cc271d9c0,260
7f4c852c6800,7f4c519d8000,260
7f4c852c6800,7f4c74d711c0,266
7f4c852c6800,7f4cc10caf40,260
7f4c852c6800,7f4c7a035640,262
7f4c852c6800,7f4c906127c0,260
7f4c852c6800,7f4cc43ab040,264
7f4c852c6800,7f4c83703f80,262
7f4c852c6800,7f4c63c4f4c0,266
7f4c852c6800,7f4c8c9cd200,262
7f4c852c6800,7f4cb15773c0,264
7f4c852c6800,7f4c54bd4680,430
7f4cb7d0c740,7f4c60ccaa40,262
7f4cb7d0c740,7f4cbe960500,260
7f4cb7d0c740,7f4c5b5e2400,250
7f4cb7d0c740,7f4ca13a02c0,254
7f4cb7d0c740,7f4c7bb6f600,260
7f4cb7d0c740,7f4cafd9fa40,262
7f4cb7d0c740,7f4c6b1bbb40,252
7f4cb7d0c740,7f4c84cfba00,260
7f4cb7d0c740,7f4c8d2d1fc0,258
7f4cb7d0c740,7f4cc271d9c0,254
7f4cb7d0c740,7f4c519d8000,252
7f4cb7d0c740,7f4c74d711c0,262
7f4cb7d0c740,7f4cc10caf40,266
7f4cb7d0c740,7f4c7a035640,262
7f4cb7d0c740,7f4c906127c0,266
7f4cb7d0c740,7f4cc43ab040,260
7f4cb7d0c740,7f4c83703f80,252
7f4cb7d0c740,7f4c63c4f4c0,262
7f4cb7d0c740,7f4c8c9cd200,258
7f4cb7d0c740,7f4cb15773c0,258
7f4cb7d0c740,7f4c54bd4680,270
7f4cb7d0c740,7f4c8b5b7040,270
7f4cb7d0c740,7f4c4fe3c080,266
7f4cb7d0c740,7f4c95ad9080,252
7f4c9126a300,7f4c60ccaa40,256
7f4c9126a300,7f4cbe960500,258
7f4c9126a300,7f4c5b5e2400,256
7f4c9126a300,7f4ca13a02c0,262
7f4c9126a300,7f4c7bb6f600,260
7f4c9126a300,7f4cafd9fa40,254
7f4c9126a300,7f4c6b1bbb40,254
7f4c9126a300,7f4c84cfba00,262
7f4c9126a300,7f4c8d2d1fc0,268
7f4c9126a300,7f4cc271d9c0,254
7f4c9126a300,7f4c519d8000,266
7f4c9126a300,7f4c74d711c0,258
7f4c9126a300,7f4cc10caf40,268
7f4c9126a300,7f4c7a035640,256
7f4c9126a300,7f4c906127c0,260
7f4c9126a300,7f4cc43ab040,268
7f4c9126a300,7f4c83703f80,264
7f4c9126a300,7f4c63c4f4c0,258
7f4c9126a300,7f4c8c9cd200,268
7f4c9126a300,7f4cb15773c0,268
7f4c9126a300,7f4c54bd4680,262
7f4c9126a300,7f4c8b5b7040,260
7f4c9126a300,7f4c4fe3c080,260
7f4c9126a300,7f4c95ad9080,262
7f4c9126a300,7f4cb7d0c740,254
7f4c7eedb780,7f4c60ccaa40,262
7f4c7eedb780,7f4cbe960500,266
7f4c7eedb780,7f4c5b5e2400,260
7f4c7eedb780,7f4ca13a02c0,264
7f4c7eedb780,7f4c7bb6f600,264
7f4c7eedb780,7f4cafd9fa40,268
7f4c7eedb780,7f4c6b1bbb40,260
7f4c7eedb780,7f4c84cfba00,274
7f4c7eedb780,7f4c8d2d1fc0,262
7f4c7eedb780,7f4cc271d9c0,260
7f4c7eedb780,7f4c519d8000,262
7f4c7eedb780,7f4c74d711c0,266
7f4c7eedb780,7f4cc10caf40,262
7f4c7eedb780,7f4c7a035640,264
7f4c7eedb780,7f4c906127c0,262
7f4c7eedb780,7f4cc43ab040,264
7f4c7eedb780,7f4c83703f80,264
7f4c7eedb780,7f4c63c4f4c0,266
7f4c7eedb780,7f4c8c9cd200,264
7f4c7eedb780,7f4cb15773c0,262
7f4c7eedb780,7f4c54bd4680,278
7f4c7eedb780,7f4c8b5b7040,430
7f4c82a96f40,7f4c60ccaa40,262
7f4c82a96f40,7f4cbe960500,264
7f4c82a96f40,7f4c5b5e2400,260
7f4c82a96f40,7f4ca13a02c0,254
7f4c82a96f40,7f4c7bb6f600,250
7f4c82a96f40,7f4cafd9fa40,260
7f4c82a96f40,7f4c6b1bbb40,260
7f4c82a96f40,7f4c84cfba00,266
7f4c82a96f40,7f4c8d2d1fc0,258
7f4c82a96f40,7f4cc271d9c0,260
7f4c82a96f40,7f4c519d8000,256
7f4c82a96f40,7f4c74d711c0,426
7f4cc3de9980,7f4c60ccaa40,260
7f4cc3de9980,7f4cbe960500,264
7f4cc3de9980,7f4c5b5e2400,274
7f4cc3de9980,7f4ca13a02c0,252
7f4cc3de9980,7f4c7bb6f600,268
7f4cc3de9980,7f4cafd9fa40,414
7f4cad183280,7f4c60ccaa40,264
7f4cad183280,7f4cbe960500,266
7f4cad183280,7f4c5b5e2400,260
7f4cad183280,7f4ca13a02c0,264
7f4cad183280,7f4c7bb6f600,264
7f4cad183280,7f4cafd9fa40,422
7f4c4bbf3700,7f4c60ccaa40,264
7f4c4bbf3700,7f4cbe960500,274
7f4c4bbf3700,7f4c5b5e2400,268
7f4c4bbf3700,7f4ca13a02c0,260
7f4c4bbf3700,7f4c7bb6f600,262
7f4c4bbf3700,7f4cafd9fa40,260
7f4c4bbf3700,7f4c6b1bbb40,268
7f4c4bbf3700,7f4c84cfba00,432
7f4c8ae58980,7f4c60ccaa40,264
7f4c8ae58980,7f4cbe960500,264
7f4c8ae58980,7f4c5b5e2400,264
7f4c8ae58980,7f4ca13a02c0,270
7f4c8ae58980,7f4c7bb6f600,260
7f4c8ae58980,7f4cafd9fa40,262
7f4c8ae58980,7f4c6b1bbb40,262
7f4c8ae58980,7f4c84cfba00,264
7f4c8ae58980,7f4c8d2d1fc0,270
7f4c8ae58980,7f4cc271d9c0,262
7f4c8ae58980,7f4c519d8000,266
7f4c8ae58980,7f4c74d711c0,264
7f4c8ae58980,7f4cc10caf40,260
7f4c8ae58980,7f4c7a035640,264
7f4c8ae58980,7f4c906127c0,268
7f4c8ae58980,7f4cc43ab040,274
7f4c8ae58980,7f4c83703f80,270
7f4c8ae58980,7f4c63c4f4c0,264
7f4c8ae58980,7f4c8c9cd200,270
7f4c8ae58980,7f4cb15773c0,270
7f4c8ae58980,7f4c54bd4680,262
7f4c8ae58980,7f4c8b5b7040,262
7f4c8ae58980,7f4c4fe3c080,260
7f4c8ae58980,7f4c95ad9080,422
7f4caa0782c0,7f4c60ccaa40,264
7f4caa0782c0,7f4cbe960500,268
7f4caa0782c0,7f4c5b5e2400,260
7f4caa0782c0,7f4ca13a02c0,258
7f4caa0782c0,7f4c7bb6f600,258
7f4caa0782c0,7f4cafd9fa40,260
7f4caa0782c0,7f4c6b1bbb40,260
7f4caa0782c0,7f4c84cfba00,268
7f4caa0782c0,7f4c8d2d1fc0,260
7f4caa0782c0,7f4cc271d9c0,260
7f4caa0782c0,7f4c519d8000,258
7f4caa0782c0,7f4c74d711c0,424
7f4c87e416c0,7f4c60ccaa40,256
7f4c87e416c0,7f4cbe960500,258
7f4c87e416c0,7f4c5b5e2400,254
